Reinitialization requiredthe ProjectPosition_origin: 0.00693161 -0.800773 1.75048
WARNING: tranlsation vectors are empty!
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.485124 -0.788278 1.77134
the ProjectPosition_correc: -0.485124 -0.788278 1.77134
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
